student_code,snapshot_id,cutoff_date,outcome_date,grado,seccion_codigo,promedio_general,cursos_desaprobados,asistencia_general,frecuencia_acceso_lms,tiempo_interaccion_lms,actividades_realizadas,recursos_consultados,target_desercion,target_label,split,data_mode,dataset_version
EST-0002,EST-0002-T1,2026-07-31,2026-12-15,1,1A,16.69,0,95.8,5.74,11.08,14,9,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0002,EST-0002-T2,2026-09-21,2026-12-15,1,1A,15.62,0,92.13,5.62,11.54,13,9,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0003,EST-0003-T1,2026-07-31,2026-12-15,1,1A,16.09,0,97.02,8.46,20.25,16,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0003,EST-0003-T2,2026-09-21,2026-12-15,1,1A,16.18,0,96.65,9.14,20.23,18,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0004,EST-0004-T1,2026-07-31,2026-12-15,1,1A,15.72,0,91.91,5.33,13.31,15,8,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0004,EST-0004-T2,2026-09-21,2026-12-15,1,1A,16.29,0,91.66,6.04,10.21,13,9,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0005,EST-0005-T1,2026-07-31,2026-12-15,1,1A,12.75,0,92.19,9.87,18.26,21,15,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0005,EST-0005-T2,2026-09-21,2026-12-15,1,1A,12.55,0,89.47,10.08,18.94,20,15,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0006,EST-0006-T1,2026-07-31,2026-12-15,1,1A,17.04,0,89.01,8.28,12.53,17,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0006,EST-0006-T2,2026-09-21,2026-12-15,1,1A,16.59,0,86.7,8.0,14.45,16,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0007,EST-0007-T1,2026-07-31,2026-12-15,1,1A,15.6,0,98.36,9.02,15.63,14,16,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0007,EST-0007-T2,2026-09-21,2026-12-15,1,1A,15.69,0,94.65,9.64,17.77,18,15,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0008,EST-0008-T1,2026-07-31,2026-12-15,1,1A,16.58,0,90.38,6.87,12.16,12,8,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0008,EST-0008-T2,2026-09-21,2026-12-15,1,1A,15.05,0,88.37,6.46,11.69,11,9,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0009,EST-0009-T1,2026-07-31,2026-12-15,1,1A,16.94,0,97.75,7.03,13.63,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0009,EST-0009-T2,2026-09-21,2026-12-15,1,1A,16.52,0,99.2,7.27,12.83,16,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0011,EST-0011-T1,2026-07-31,2026-12-15,1,1A,15.65,0,90.21,8.84,13.28,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0011,EST-0011-T2,2026-09-21,2026-12-15,1,1A,14.83,0,87.29,6.68,12.16,13,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0012,EST-0012-T1,2026-07-31,2026-12-15,1,1A,14.59,0,94.91,4.15,12.92,15,9,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0012,EST-0012-T2,2026-09-21,2026-12-15,1,1A,14.09,0,92.39,5.75,8.98,12,10,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0013,EST-0013-T1,2026-07-31,2026-12-15,1,1B,13.72,0,87.73,5.48,12.32,14,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0013,EST-0013-T2,2026-09-21,2026-12-15,1,1B,12.42,0,88.22,5.87,11.28,13,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0014,EST-0014-T1,2026-07-31,2026-12-15,1,1B,16.11,0,94.26,11.54,19.28,16,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0014,EST-0014-T2,2026-09-21,2026-12-15,1,1B,16.31,0,96.12,10.77,19.32,17,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0015,EST-0015-T1,2026-07-31,2026-12-15,1,1B,16.13,0,91.27,6.83,10.99,13,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0015,EST-0015-T2,2026-09-21,2026-12-15,1,1B,16.35,0,88.35,6.93,13.07,14,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0016,EST-0016-T1,2026-07-31,2026-12-15,1,1B,12.69,0,89.78,7.94,9.59,14,9,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0016,EST-0016-T2,2026-09-21,2026-12-15,1,1B,11.13,1,88.88,6.85,11.75,11,7,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0017,EST-0017-T1,2026-07-31,2026-12-15,1,1B,14.58,0,94.65,9.76,16.18,12,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0017,EST-0017-T2,2026-09-21,2026-12-15,1,1B,14.96,0,95.77,9.08,14.92,14,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0018,EST-0018-T1,2026-07-31,2026-12-15,1,1B,16.63,0,96.99,7.54,20.37,14,14,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0018,EST-0018-T2,2026-09-21,2026-12-15,1,1B,14.86,0,92.75,6.92,16.71,14,13,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0020,EST-0020-T1,2026-07-31,2026-12-15,1,1B,18.99,0,99.5,8.44,19.12,18,15,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0020,EST-0020-T2,2026-09-21,2026-12-15,1,1B,19.47,0,99.5,9.5,17.99,19,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0021,EST-0021-T1,2026-07-31,2026-12-15,1,1B,14.39,0,95.7,8.52,13.43,13,9,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0021,EST-0021-T2,2026-09-21,2026-12-15,1,1B,13.77,0,95.13,7.5,13.22,13,9,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0022,EST-0022-T1,2026-07-31,2026-12-15,1,1B,17.56,0,91.06,8.59,18.31,14,13,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0022,EST-0022-T2,2026-09-21,2026-12-15,1,1B,16.53,0,92.74,8.49,16.95,17,12,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0023,EST-0023-T1,2026-07-31,2026-12-15,1,1B,18.0,0,97.59,9.47,11.39,15,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0023,EST-0023-T2,2026-09-21,2026-12-15,1,1B,17.37,0,93.36,7.59,13.03,14,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0024,EST-0024-T1,2026-07-31,2026-12-15,1,1B,16.05,0,92.24,6.78,10.41,10,7,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0024,EST-0024-T2,2026-09-21,2026-12-15,1,1B,15.34,0,92.45,6.09,10.35,9,7,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0025,EST-0025-T1,2026-07-31,2026-12-15,1,1C,13.71,0,90.21,5.64,16.24,14,12,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0025,EST-0025-T2,2026-09-21,2026-12-15,1,1C,12.86,0,89.93,5.91,13.67,13,10,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0026,EST-0026-T1,2026-07-31,2026-12-15,1,1C,17.91,0,90.2,8.89,22.53,14,13,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0026,EST-0026-T2,2026-09-21,2026-12-15,1,1C,17.2,0,90.89,8.65,19.41,15,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0027,EST-0027-T1,2026-07-31,2026-12-15,1,1C,15.02,0,90.99,4.05,11.18,16,10,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0027,EST-0027-T2,2026-09-21,2026-12-15,1,1C,16.25,0,88.11,5.02,10.02,14,9,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0029,EST-0029-T1,2026-07-31,2026-12-15,1,1C,12.11,0,93.85,8.04,11.17,10,8,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0029,EST-0029-T2,2026-09-21,2026-12-15,1,1C,12.1,0,94.9,6.48,12.27,10,7,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0030,EST-0030-T1,2026-07-31,2026-12-15,1,1C,15.32,0,92.62,2.74,9.35,9,7,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0030,EST-0030-T2,2026-09-21,2026-12-15,1,1C,15.27,0,93.04,5.11,8.46,9,8,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0031,EST-0031-T1,2026-07-31,2026-12-15,1,1C,15.88,0,96.48,11.21,22.85,18,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0031,EST-0031-T2,2026-09-21,2026-12-15,1,1C,15.88,0,95.8,9.93,21.56,18,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0032,EST-0032-T1,2026-07-31,2026-12-15,1,1C,17.51,0,89.82,8.15,15.36,16,10,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0032,EST-0032-T2,2026-09-21,2026-12-15,1,1C,16.7,0,92.12,7.46,15.8,16,12,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0033,EST-0033-T1,2026-07-31,2026-12-15,1,1C,11.03,1,97.92,7.18,13.31,15,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0033,EST-0033-T2,2026-09-21,2026-12-15,1,1C,10.22,1,97.44,7.04,12.31,12,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
